Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Bella Buono,"Continental, Mexican, Chinese, North Indian, Fast Food",3.8,"₹1,500 for two",5.4 km,"Vijay Nagar, Indore",Indore
The Highgarden Cafe,"Fast Food, Chinese, Sandwich, Street Food, Pizza, Healthy Food, Juices, Beverages",3.8,"₹1,200 for two",3.5 km,"Old Palasia, Indore",Indore
Ethyl Bar - Radisson Blu Hotel,"Bar Food, Continental, Beverages",4.4,"₹3,200 for two",5.5 km,"Radisson Blu Hotel, Vijay Nagar, Indore",Indore
The Ground Baking Co.,"Cafe, Pizza, Waffle, Beverages",4.3,"₹1,200 for two",4.8 km,"Vijay Nagar, Indore",Indore
Diet Dial,"Healthy Food, Salad, North Indian, South Indian, Fast Food",3.9,₹350 for two,3.2 km,"HIG-LIG, Indore",Indore
Pizza Don,"Pizza, Pasta, Italian, Continental, Burger, Panini, Desserts, Beverages",4.5,"₹1,200 for two",4.8 km,"Vijay Nagar, Indore",Indore
Moti Mahal Delux,"North Indian, Mughlai, Chinese, Kebab, Biryani, Oriental, Desserts, Beverages",4.4,"₹1,300 for two",7.4 km,"By Pass Road (South), Indore",Indore
Hopin - Patio Cafe,"Cafe, Coffee, Beverages, Italian, Fast Food, Asian, North Indian, Desserts",3.3,"₹1,200 for two",2.9 km,"New Palasia, Indore",Indore
Guru Kripa,"North Indian, Chinese, Pasta, Salad, Fast Food, Desserts, Beverages",3.3,"₹1,000 for two",7.5 km,"By Pass Road (South), Indore",Indore
Patang - Hotel Daksh Residency,"North Indian, Kebab, Chinese, Salad, Continental, Sandwich, Desserts, Beverages",4.3,"₹1,000 for two",4.5 km,"Vijay Nagar, Indore",Indore
WOW! Chicken by WOW! Momo,"American, Fast Food, Burger, Beverages",4.2,₹500 for two,8.5 km,"By Pass Road (North), Indore",Indore
Plated - Bar & Kitchen,"North Indian, Mughlai, Chinese, Biryani, Seafood",3.9,"₹1,500 for two",8.4 km,"By Pass Road (North), Indore",Indore
Bapu Ki Kutia,"North Indian, Chinese, Desserts",4,₹800 for two,3 km,"Sapna Sangeeta, Indore",Indore
Meraki - The Creative Cuisine,"North Indian, Kebab, Chinese, Pizza, Italian, Salad, Beverages",4.4,"₹1,000 for two",5.3 km,"Vijay Nagar, Indore",Indore
Araana - Sheraton Grand Palace,"North Indian, Desserts",3.9,"₹3,500 for two",9.7 km,"Sheraton Grand Palace, Indore",Indore
Shreemaya Celebration,"North Indian, South Indian, Chinese, Continental, Fast Food, Beverages, Burger",4.6,₹850 for two,2.2 km,"Hotel Shreemaya, RNT Marg, Indore",Indore
The Eighteen Fine Dine Lounge,"North Indian, Mughlai, Continental, Chinese, Italian, Sushi, Desserts, Beverages",4.4,"₹2,000 for two",4.4 km,"Vijay Nagar, Indore",Indore
Cafe De Casa,"Cafe, Shake, Chinese, Italian, Mexican, North Indian, Desserts, Beverages",4.1,"₹1,100 for two",5.1 km,"Vijay Nagar, Indore",Indore
Spruzzo The Gourmet Cafe,"Cafe, Coffee, Beverages, North Indian, Chinese, Pizza, Continental, Desserts",2.5,"₹1,000 for two",2.8 km,"New Palasia, Indore",Indore
KFC,"Fast Food, Burger, Biryani, Beverages",4,₹450 for two,4.4 km,"Malhar Mega Mall, Vijay Nagar, Indore",Indore
Kitchen Ministry,North Indian,3.8,"₹1,000 for two",2.1 km,"RNT Marg, Indore",Indore
Fagun Restaurant,"North Indian, Chinese, Continental, Fast Food, Salad, Biryani",4.2,"₹1,200 for two",8.8 km,"Vijay Nagar, Indore",Indore
Solitaire Restaurant,"North Indian, Mughlai, Biryani, Chinese, Salad, Beverages",4.2,"₹1,000 for two",4.4 km,"Vijay Nagar, Indore",Indore
Indore Baking Company - Indore Marriott Hotel,"Fast Food, Bakery, Desserts, Beverages, Shake",4.6,"₹2,500 for two",4.2 km,"Indore Marriott Hotel, Vijay Nagar, Indore",Indore
London Bubble Co.,"Waffle, Ice Cream, Shake",3.9,₹300 for two,4.7 km,"Vijay Nagar, Indore",Indore
Firangi Cafe,"Continental, Pizza, Beverages, Sandwich",4.3,"₹1,000 for two",4.9 km,"Vijay Nagar, Indore",Indore
Mocha,"Cafe, Continental, Italian, North Indian, Fast Food, Pizza, Desserts, Beverages",3.9,"₹1,200 for two",2 km,"YN Road, Indore",Indore
Constellation - Hotel WOW CREST IHCL SELEQTIONS,"North Indian, Asian, Continental, Desserts, Beverages",4.1,"₹3,500 for two",4.6 km,"Hotel Wow, Vijay Nagar, Indore",Indore
Mini Punjabi,"North Indian, Chinese",3.8,₹300 for two,2.2 km,"Manik Bagh Road, Indore",Indore
Mitti - Organic Fresh Desi,"Cafe, Coffee, Beverages, North Indian, Continental, Chinese, Healthy Food, Desserts",4.1,"₹1,000 for two",3.4 km,"Old Palasia, Indore",Indore
Atha,"North Indian, Chinese, Sichuan, Salad, Desserts, Beverages",New,"₹1,000 for two",10.7 km,"Rau, Indore",Indore
Mediterra - Sayaji Hotel,"North Indian, Mughlai, Chinese, Continental, Italian, Salad, Biryani",4.7,"₹1,800 for two",4.4 km,"Sayaji Hotel, Vijay Nagar, Indore",Indore
Alba Bistro,"North Indian, Continental",3.4,₹800 for two,8.9 km,"By Pass Road (North), Indore",Indore
99 Kitchen & Co.,"Italian, Japanese, Continental, Fast Food, Desserts, Beverages",3.4,"₹1,000 for two",5.4 km,"Vijay Nagar, Indore",Indore
Mate Connect Coffee,"Cafe, Coffee, Beverages, Fast Food",3.9,₹400 for two,4.3 km,"Vijay Nagar, Indore",Indore
Funeats,"North Indian, Salad, Continental, Pizza, Italian, Asian, Desserts, Beverages",3.4,"₹1,000 for two",2.2 km,"Treasure Island Mall, South Tukoganj, Indore",Indore
Cocktails & Dreams,"North Indian, Chinese, Continental, Italian, Oriental, Sushi, Biryani, Desserts",4.2,"₹3,000 for two",6.1 km,"Vijay Nagar, Indore",Indore
Godwit,"Fast Food, Italian, South Indian, Chinese, North Indian, Desserts, Beverages",4,₹500 for two,6.9 km,"By Pass Road (North), Indore",Indore
Banana Leaf,"South Indian, North Indian, Biryani, Desserts, Beverages",4.3,₹800 for two,4.4 km,"Malhar Mega Mall, Vijay Nagar, Indore",Indore
The Monroe,"North Indian, Chinese, Fast Food, Desserts, Beverages, Italian",4.2,"₹1,000 for two",2.8 km,"New Palasia, Indore",Indore
Tyger Tyger,Asian,New,"₹1,000 for two",5.7 km,"Vijay Nagar, Indore",Indore
Simi's,Bakery,4.5,₹500 for two,4.9 km,"Vijay Nagar, Indore",Indore
The Beer Cafe,"Bar Food, Italian, North Indian, Mexican, Finger Food, Fast Food",4.3,"₹1,500 for two",5.4 km,"Vijay Nagar, Indore",Indore
Angrezi Desi,North Indian,3.9,"₹1,000 for two",8 km,"New Palasia, Indore",Indore
Pizza Hut,"Pizza, Fast Food, Italian",3.7,₹600 for two,4.4 km,"Malhar Mega Mall, Vijay Nagar, Indore",Indore
The Grill,"North Indian, Chinese",3.9,"₹1,000 for two",7.4 km,"Vijay Nagar, Indore",Indore
Basil - Ramada Encore By Wyndham,"North Indian, Fast Food",-,"₹1,000 for two",8.3 km,"Vijay Nagar, Indore",Indore
Jardin Hotel,"North Indian, Mughlai, Chinese, Seafood, Desserts",-,"₹1,000 for two",7.4 km,"Vijay Nagar, Indore",Indore
Rail Coach Restaurant,"North Indian, Mughlai, Chinese, Oriental, Biryani, Fast Food, Street Food, Beverages",3.3,"₹1,300 for two",3.3 km,"Ranjeet Hanuman, Indore",Indore
Bollywood Theka,"North Indian, Chinese, Fast Food, Biryani, Bar Food, Desserts, Beverages",4.4,"₹1,100 for two",5.8 km,"Infiniti Hotel, Vijay Nagar, Indore",Indore
Yoi Toki,"Asian, Chinese, Pizza, Sushi, Desserts",3.3,"₹1,000 for two",2.3 km,"South Tukoganj, Indore",Indore
Chang's Legacy,"Chinese, North Indian, Seafood, Sichuan, Asian",4.6,"₹1,000 for two",4.6 km,"Vijay Nagar, Indore",Indore
Diners Park,"North Indian, Chinese, Salad, Fast Food, Desserts, Beverages",4,"₹1,000 for two",9.9 km,"Vijay Nagar, Indore",Indore
Sheesha Sky Lounge,"North Indian, Mughlai, Arabian, Chinese, Seafood, Kebab, Biryani, Desserts",4.2,"₹1,500 for two",5.1 km,"Vijay Nagar, Indore",Indore
Hotel Shreemaya,"North Indian, Mughlai, Chinese, Continental, Desserts, Beverages",4.5,"₹1,200 for two",2.2 km,"Hotel Shreemaya, RNT Marg, Indore",Indore
Good Old Days - Hotel Effotel,"North Indian, Asian",4.9,"₹1,500 for two",5.5 km,"Hotel Effotel, Vijay Nagar, Indore",Indore
Chai Kaapi,"Fast Food, North Indian, Street Food",3,₹400 for two,8 km,"By Pass Road (North), Indore",Indore
Cafe Chapter One,"Cafe, Coffee, Italian, Fast Food, Pizza, Continental, Desserts, Beverages",4.3,₹750 for two,6.1 km,"Vijay Nagar, Indore",Indore
Taaza Restaurant,"North Indian, Fast Food, Burger, Middle Eastern, Arabian, Shawarma, Salad, Grilled Chicken",3.8,₹550 for two,6.2 km,"Vijay Nagar, Indore",Indore
Biggies Burger,"Burger, Wraps, Fast Food, Beverages",3,₹500 for two,8.5 km,"By Pass Road (North), Indore",Indore
VegTawa Restaurant,"North Indian, Chinese, Kebab, Salad, Ice Cream, Desserts",4.2,₹700 for two,4.8 km,"Sudama Nagar, Indore",Indore
GFC - Restaurant,"North Indian, Mughlai, Chinese, Kebab, Biryani, Desserts",4,"₹1,200 for two",7.1 km,"By Pass Road (North), Indore",Indore
Shree Leela,"North Indian, Chinese, Biryani, Desserts, Beverages",4.1,₹700 for two,5.1 km,"Khajrana, Indore",Indore
Monu Gyaniji Ka Dhaba,"North Indian, Chinese, Fast Food, Desserts, Beverages",3.8,₹350 for two,3.9 km,"Bhawar Kuan, Indore",Indore
Kebabsville - Sayaji Hotel,"North Indian, Bar Food",4.9,"₹2,000 for two",4.4 km,"Sayaji Hotel, Vijay Nagar, Indore",Indore
Absolute Coffee Brewers,"Cafe, Coffee, Continental, Fast Food, Bakery, Desserts, Tea, Shake",3.8,"₹1,000 for two",4.6 km,"Vijay Nagar, Indore",Indore
Kaffee - La',"Cafe, Coffee, Tea, Beverages, Pizza, Sandwich, Salad, Bakery",3.7,₹600 for two,4.5 km,"Vijay Nagar, Indore",Indore
Inizio,"Coffee, Italian, Beverages, Pizza, Asian, Salad, Sandwich, Pasta",3.5,"₹1,000 for two",2.7 km,"New Palasia, Indore",Indore
Lord Petrick,"Cafe, Coffee, Burger, Fast Food, Shake, Beverages",-,₹600 for two,3.7 km,"Bhawar Kuan, Indore",Indore
K Bhagat Tarachand,"North Indian, Biryani, Fast Food, Desserts",3.3,"₹1,000 for two",5.7 km,"Vijay Nagar, Indore",Indore
