Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Deviram Food Circle,"Mithai, Fast Food, Street Food, North Indian, Desserts, Shake",3.9,₹300 for two,7.2 km,"Sikandra, Agra",Agra
Berco's - If You Love Chinese,"Chinese, Thai, Asian",4.3,"₹1,400 for two",2.5 km,"Civil Lines, Agra",Agra
Pizza Cafe,"Pizza, Fast Food, Street Food, Desserts",New,₹400 for two,4.8 km,"Kamla Nagar, Agra",Agra
Burger Farm,"Burger, Wraps, Fast Food, Beverages",-,₹900 for two,4.3 km,"Tajganj, Agra",Agra
Capri Restaurant,"North Indian, Mughlai",3.5,₹850 for two,2.7 km,"Civil Lines, Agra",Agra
The Mud Shakes,"Beverages, Shake, Waffle, Fast Food",4.1,₹200 for two,2.7 km,"Khandari, Agra",Agra
Hello Anna,"South Indian, Chinese, Fast Food, Street Food, Ice Cream, Shake",3,"₹1,000 for two",6.2 km,"Sikandra, Agra",Agra
The Indian Curry,"North Indian, Chinese, Oriental, Continental, Desserts, Beverages",3.9,"₹1,800 for two",3.1 km,"Kamla Nagar, Agra",Agra
Subway,"Healthy Food, Sandwich, Fast Food, Wraps, Salad, Beverages",3.9,₹400 for two,3.2 km,"Civil Lines, Agra",Agra
The Mughal Room - Hotel Clarks Shiraz,"North Indian, Mughlai, Chinese, Beverages, Desserts",4.3,"₹2,600 for two",2.4 km,"Hotel Clarks Shiraz, Agra Cantt, Agra",Agra
Taj Terrace - Hotel Taj Resorts,"North Indian, Continental, Chinese, Beverages, Desserts, Shake",4.2,"₹1,000 for two",3.3 km,"Tajganj, Agra",Agra
Eight Herbs Café,"Cafe, Fast Food, Sandwich, Burger, Pizza, Momos, Waffle, Beverages",-,₹900 for two,2.6 km,"Civil Lines, Agra",Agra
Fakira,"North Indian, Chinese, Continental, Fast Food, Beverages",4.2,"₹2,200 for two",5.6 km,"Lohamandi, Agra",Agra
The Sky Restaurant,"North Indian, Chinese",3.9,₹800 for two,7 km,"Sikandra, Agra",Agra
Burger King,"Burger, Fast Food, Beverages",3.8,₹350 for two,4 km,"Khandari, Agra",Agra
Manoj Dhaba,North Indian,3.9,₹500 for two,3.8 km,"Dayal Bagh, Agra",Agra
Retro Thrill Cafe,"Fast Food, Pizza, Burger, Rolls, Chinese, North Indian, Biryani, Beverages",3.9,₹800 for two,5.8 km,"Sikandra, Agra",Agra
Pushpak Misthan Bhandar and Sweet,"Mithai, Street Food",4.4,₹100 for two,1.3 km,"Mantola, Agra",Agra
Gopaldas Pethe Wale,"Mithai, Street Food",3.5,₹250 for two,3.5 km,"Tajganj, Agra",Agra
The Waffle Co.,"Waffle, Sandwich, Bakery, Shake, Coffee, Beverages",New,₹400 for two,2.5 km,"Civil Lines, Agra",Agra
Henry's The English Pub - Radisson Hotel Agra,"Continental, Fast Food, Desserts",3.9,"₹3,400 for two",4.2 km,"Radisson Hotel Agra, Tajganj, Agra",Agra
Starbucks Coffee,"Cafe, Coffee, Fast Food",-,₹900 for two,4.3 km,"Tajganj, Agra",Agra
Deviram Sweets & Restaurant,"Mithai, North Indian, Fast Food, Beverages, Desserts, South Indian",4.2,₹650 for two,1.8 km,"Rakabganj, Agra",Agra
Sardar G Malai Chaap Junction,"North Indian, Rolls, Momos",3.8,₹300 for two,2.6 km,"Civil Lines, Agra",Agra
Mughal Pavilion - ITC Mughal,"North Indian, Chinese, Continental",4,"₹2,500 for two",3.1 km,"ITC Mughal, Tajganj, Agra",Agra
De Eros Cafe,"Cafe, Coffee",-,₹300 for two,4.9 km,"Shahganj, Agra",Agra
Manoj Restaurant,"South Indian, Chinese, North Indian",4.1,₹300 for two,546 m,"Mantola, Agra",Agra
