Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Chatora Station Restaurant,"North Indian, Chinese, Fast Food, Mughlai",3.9,200.0,5.6,"Gopal Pura, Agra",Agra
Udupi Brindavan Vegetarian Restaurant,"South Indian, North Indian, Chinese",3.374251,450.0,3.3,"Kamla Nagar, Agra",Agra
Australian Cafe Pizza,"Pizza, Burger, Fast Food",4.2,200.0,3.9,"Shahganj, Agra",Agra
Chimmanlal Puri Wale,"North Indian, Street Food, Mithai",3.8,150.0,0.417,"Mantola, Agra",Agra
Infini – The Sky Lounge - Taj Hotel & Convention Centre,"North Indian, Fast Food, Finger Food, Beverages",4.0,1400.0,4.3,"Taj Hotel & Convention Centre, Tajganj, Agra",Agra
Bhagat Halwai,"Mithai, North Indian, Street Food, Fast Food, Beverages",4.0,200.0,4.0,"Shahganj, Agra",Agra
Deepee,"South Indian, Continental, Ice Cream, Beverages, Fast Food",3.7,400.0,1.7,"Rakabganj, Agra",Agra
Wonder Terrace Bar & Kitchen,"North Indian, Continental, Finger Food, Beverages, BBQ",4.0,1750.0,4.2,"Radisson Hotel Agra, Tajganj, Agra",Agra
The Chapter Kitchen,"North Indian, Continental, Oriental, Pizza, Beverages",4.0,600.0,4.0,"Khandari, Agra",Agra
Amritsari Kulcha Junction,"North Indian, Chinese, Rolls, Beverages",3.7,250.0,2.7,"Civil Lines, Agra",Agra
Maikhana – ITC Mughal,Finger Food,4.1,1000.0,3.2,"ITC Mughal, Tajganj, Agra",Agra
Masala Handi,"North Indian, Chinese, Fast Food, South Indian, Desserts",3.0,200.0,2.7,"Civil Lines, Agra",Agra
Romo's Bistro,"North Indian, Chinese, Fast Food, Momos, Rolls",2.7,300.0,3.6,"Khandari, Agra",Agra
Peshawri - ITC Mughal,"North Indian, Mughlai",4.5,3000.0,3.2,"ITC Mughal, Tajganj, Agra",Agra
Star Ultimate Pizza,"Fast Food, Pasta, Beverages",4.0,200.0,3.3,"Tajganj, Agra",Agra
Plush Bar,"Continental, Fast Food",3.9,1350.0,4.3,"DoubleTree by Hilton Hotel Agra, Tajganj, Agra",Agra
Gifi,"Burger, Sandwich, Fast Food, Waffle, Desserts, Shake, Beverages",3.374251,150.0,4.7,"Tajganj, Agra",Agra
Tealogy,"Beverages, Shake, Sandwich, Fast Food, Street Food",4.6,200.0,2.7,"Civil Lines, Agra",Agra
Meet N Eat Onwheel,"North Indian, Chinese, Burger, Fast Food",3.374251,150.0,5.9,"Dayal Bagh, Agra",Agra
New Agra Fast Food & Restaurant,"North Indian, South Indian",3.7,125.0,3.3,"Tajganj, Agra",Agra
Pizza King,"Pizza, Fast Food",3.374251,225.0,4.1,"Tajganj, Agra",Agra
Costa Coffee,"Cafe, Coffee, Beverages, Bakery, Desserts",3.374251,400.0,3.0,"Civil Lines, Agra",Agra
Cremeborne - Ice Creams and Desserts,"Bakery, Waffle, Ice Cream, Coffee, Shake",4.0,250.0,4.4,"Khandari, Agra",Agra
Bikanervala,"Mithai, North Indian, Chinese, South Indian, Fast Food, Desserts, Beverages",4.0,350.0,3.5,"Tajganj, Agra",Agra
Bhagat Halwai,"Mithai, Chinese, South Indian, Street Food, Fast Food, Desserts, Bakery",3.8,150.0,4.5,"Dayal Bagh, Agra",Agra
Jain Fast Food & Restaurant,"North Indian, South Indian, Chinese, Fast Food",3.374251,225.0,3.8,"Trans Yamuna, Agra",Agra
C'est Chine - Jaypee Palace Hotel,Chinese,4.4,1250.0,4.4,"Jaypee Palace Hotel, Tajganj, Agra",Agra
Charlly Restaurant & Resort,"South Indian, Pizza, Burger, Chinese, Fast Food, Salad, Desserts, Beverages",3.374251,150.0,12.3,"Shahganj, Agra",Agra
