Restaurent name,Cuisine types,Rating,Price,Distance,Location
Delhi Choti Line Restaurant And Cafe,"North Indian, Mughlai",3.3,₹400 for two,4.9 km,"Jankipuram, Lucknow"
Burger Point,"Fast Food, Burger, Beverages",4.0,₹300 for two,5.2 km,"Aliganj, Lucknow"
Cafe Hons - House Of No Sugar,"Italian, Mexican, Continental, Sandwich, Burger, Fast Food, Beverages",4.5,"₹1,200 for two",6 km,"Gomti Nagar, Lucknow"
D' Cafe Caribbean,"North Indian, Chinese, Sandwich, Pizza, Desserts, Mughlai, Juices, Shake",-,"₹1,000 for two",2.7 km,"Husain Ganj, Lucknow"
Pizza Tavola,"Pizza, Pasta, Sandwich, Fast Food, Tea, Shake, Desserts, Beverages",4.6,₹850 for two,3.6 km,"Indira Nagar, Lucknow"
Falak Numa Restaurant - Hotel Clarks Avadh,"North Indian, Lucknowi, Awadhi, Desserts, Beverages",3.9,"₹3,500 for two",1.7 km,"Hotel Clarks Avadh, Hazratganj, Lucknow"
Hum Tum Bun Tea,"Chinese, Pizza, Sandwich, Fast Food, Street Food, Tea, Coffee",-,₹350 for two,5.7 km,"Gomti Nagar, Lucknow"
Domino's Pizza,"Pizza, Italian, Pasta, Fast Food, Desserts",3.8,₹400 for two,5.3 km,"Aliganj, Lucknow"
Jannat-Dayal Paradise,"Italian, Continental, Finger Food, Desserts",4.0,"₹1,400 for two",4.7 km,"Hotel Dayal Paradise, Gomti Nagar, Lucknow"
Upper Deck - Restro Bar,"North Indian, Chinese, Mughlai, Biryani, Sandwich, Pizza, Fast Food",3.9,"₹1,100 for two",5.2 km,"Jankipuram, Lucknow"
Burger Bong,"Burger, Chinese, Pizza, Momos, Rolls, Fast Food",-,₹250 for two,4.6 km,"Gomti Nagar, Lucknow"
The Kalika Hut,"North Indian, Chinese, Mughlai, Fast Food",3.0,₹500 for two,1.7 km,"Hazratganj, Lucknow"
La Pino'z Pizza,"Pizza, Pasta, Italian, Fast Food",3.9,₹800 for two,4.2 km,"Chowk, Lucknow"
Hons  All Day Dining,"Cafe, Coffee, Tea, Shake, Beverages, Continental, Italian, Salad",4.0,₹600 for two,1.6 km,"Hazratganj, Lucknow"
Firefly,"North Indian, South Indian, Chinese, Italian, Thai, Japanese, Beverages, Desserts",4.0,"₹1,900 for two",6.1 km,"Summit Building, Gomti Nagar, Lucknow"
Hudson Chopsticks,"Chinese, Thai, Asian, Fast Food, Beverages, Desserts",4.4,"₹1,000 for two",5.7 km,"Gomti Nagar, Lucknow"
Giani,"Desserts, Ice Cream",-,₹200 for two,1.2 km,"Sapru Marg, Lucknow"
Bae House Cafe,"Cafe, Coffee, Pizza, North Indian, Chinese, Fast Food, Desserts, Beverages",-,₹700 for two,5.6 km,"Gomti Nagar, Lucknow"
The Square - Novotel,"North Indian, Mughlai, Oriental, Continental, Fast Food, Desserts",4.2,"₹3,500 for two",7.5 km,"Novotel, Gomti Nagar, Lucknow"
Azrak- Saraca Lucknow,"Chinese, Fast Food, Street Food, North Indian, Kebab, Mughlai, Biryani, Desserts",4.3,"₹3,500 for two",3.4 km,"lebua Lucknow, Lucknow"
Firdaus - Deep Palace,"North Indian, Chinese, South Indian, Continental, Desserts, Beverages",3.9,"₹1,200 for two",3.4 km,"Deep Palace, Udaiganj, Lucknow"
Destination Lucknow,"North Indian, Mughlai, Biryani",4.0,₹500 for two,4.4 km,"Indira Nagar, Lucknow"
Fauji Da Dhaba,"North Indian, Chinese, South Indian, Street Food",3.3,₹250 for two,8.9 km,"Gomti Nagar, Lucknow"
Al-Baik,"Fast Food, Burger",4.2,₹300 for two,4.3 km,"Chowk, Lucknow"
La Chakhna,"Korean, Bubble Tea, Japanese, Asian",3.3,₹450 for two,3.2 km,"Aliganj, Lucknow"
Uncle Peter's Pancakes,"Waffle, Desserts, Pancake, Sandwich, Fast Food, Beverages",4.0,₹500 for two,9.3 km,"Aashiana, Lucknow"
Fit Food Bistro,"Chinese, Shake, Salad, Cafe, Coffee, Healthy Food, North Indian",3.2,₹300 for two,3.2 km,"Aliganj, Lucknow"
Bukhara Grill,"North Indian, Continental, American, Mughlai, Chinese, Beverages",4.0,"₹1,600 for two",9.2 km,"Aashiana, Lucknow"
Balaji Grand,"North Indian, Chinese",4.0,₹500 for two,4.2 km,"Charbagh, Lucknow"
La Sani'z -Delight In Every Bite,"Cafe, Lebanese, Fast Food, Desserts, Beverages, Chinese",4.0,₹350 for two,3 km,"Indira Nagar, Lucknow"
Uncle Fish Fry,"North Indian, Fast Food",3.7,₹300 for two,7.1 km,"Alambagh, Lucknow"
Pizza Cave,"Pizza, Fast Food, Ice Cream, Beverages",3.5,₹300 for two,5.1 km,"Aliganj, Lucknow"
Garden Grille & Bar - Hilton Garden Inn,"North Indian, Asian, Mughlai, Fast Food, Desserts, Ice Cream",4.4,"₹2,000 for two",5.8 km,"Gomti Nagar, Lucknow"
Indian Culinary Company,"Sandwich, Burger, Pasta, Chinese, Fast Food, Street Food, Beverages",4.0,₹200 for two,8.6 km,"Aashiana, Lucknow"
Foodie Baba,"Pizza, Sandwich, Burger, Fast Food, Salad, Shake, Beverages",4.2,₹500 for two,9.6 km,"Aashiana, Lucknow"
Take Off Point,"Chinese, Fast Food, North Indian, Biryani, Mughlai, Beverages",4.0,₹400 for two,7.1 km,"Alambagh, Lucknow"
Al-Jafran,North Indian,4.6,₹500 for two,3.4 km,"Nirala Nagar, Lucknow"
Ciwaz Veg & Non Veg,"North Indian, Mughlai, Street Food, Chinese, Beverages, Desserts",3.5,₹500 for two,8.8 km,"Gomti Nagar, Lucknow"
Spicy Kitchen,"Chinese, Shake, Sichuan",3.8,₹300 for two,3.5 km,"Aliganj, Lucknow"
TasteBud Restaurant,"North Indian, Chinese, Kebab, Mughlai",4.4,₹400 for two,3.4 km,"Aliganj, Lucknow"
Farzi Café,"North Indian, Mughlai, Italian, Continental, Asian, Fast Food, Desserts, Beverages",4.5,"₹2,500 for two",6.2 km,"Gomti Nagar, Lucknow"
Gola Sizzlers,"North Indian, Mughlai, Chinese, Continental, Ice Cream",4.3,"₹2,000 for two",9.8 km,"Lulu Mall, Lucknow"
Biryani Stock Exchange,"Biryani, North Indian, Momos",3.8,₹600 for two,5.6 km,"Gomti Nagar, Lucknow"
Gravy Groovy,"North Indian, Lucknowi, Biryani, Seafood, Fast Food, Continental",4.7,₹700 for two,6 km,"Gomti Nagar, Lucknow"
Void Bar & Nightclub,"Continental, Asian, Chinese, Fast Food, Pasta, Pizza, North Indian, Desserts",4.0,"₹1,500 for two",6.1 km,"Gomti Nagar, Lucknow"
